ID,NAME,TIME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,ABUSE,B_POLARITY,POR
conv1_mess1,Adrien,14:41:37,WESH silvia pk tu vien et tu fou la merde dans les couple,bully,OAG,victim,OTH,AIN,NULL,NEG,1,1,1
conv1_mess2,Théo,14:42:10,grave tu viens et tu pécho d'autre gars,bully_support,OAG,victim,DNG,AIN,AIN,NEG,1,1,1
conv1_mess3,Silvia,14:42:12,tu parle de quoi c'est lucas qui a foutu la merde,victim,NAG,NULL,NULL,CNS,AIN,NEU,0,0,0
conv1_mess4,Théo,14:42:56,vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines,bully_support,OAG,victim,DNG,ATK,CNS,NEG,1,1,1
conv1_mess5,Silvia,14:43:34,nan mais les gars calmez vous quoi si lucas c'est lui la pute j'y peu rien,victim,OAG,NULL,NCG,DFN,ATK,NEG,1,0,0
conv1_mess6,Théo,14:44:40,Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,bully_support,OAG,victim,DNG,ATK,DFN,NEG,1,1,1
conv1_mess7,Silvia,14:45:34,Lucas il ma di qu'il voulait pas rester avecc sophie,victim,NAG,NULL,NULL,CNS,ATK,NEU,0,0,0
conv1_mess8,Théo,14:45:51,mon cul:@,bully_support,OAG,victim,OTH,ATK,CNS,NEG,1,1,1
conv1_mess9,Camille,14:46:06,aller niquez vos mere,bully_support,OAG,victim,OTH,ATK,CNS,NEG,1,1,1
conv1_mess10,Soan,14:46:15,toi nike ta mere sallle pute,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0
conv1_mess11,Adrien,14:46:33,lucas etait en couple et toi tu est tjr la tu fou la merde en plus tu savai,bully,OAG,victim,BLM,ATK,CNS,NEG,1,1,1
conv1_mess12,Soan,14:46:50,laisser silivia tranquille avant je vous encule bande de cave,victim_support,OAG,bully/bully_support,OTH,DFN,ATK,NEG,1,0,0
conv1_mess13,Camille,14:47:05,sa ser a rien de le défendre t qune pute assumee suceuse,bully_support,OAG,victim_support,NCG,ATK,DFN,NEG,1,1,1
conv1_mess14,Soan,14:47:12,et alors lucas il est moche,victim_support,OAG,NULL,DNG,DFN,ATK,NEG,1,0,0
conv1_mess15,Adrien,14:47:20,tu va rien faire c'est de sa faute,bully,OAG,victim,BLM,ATK,DFN,NEG,1,1,1
conv1_mess16,Soan,14:47:27,ta mere la reine des salope,victim_support,OAG,bully,OTH,DFN,ATK,NEG,1,0,0
conv1_mess17,Silvia,14:47:34,lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,victim,OAG,NULL,OTH,DFN,ATK,NEG,1,0,0
conv1_mess18,Théo,14:47:42,qu'est qu'elle a l'autre rousse? tu défend les putes,bully_support,OAG,victim/victim_support,NCG,ATK,DFN,NEG,1,1,1
conv1_mess19,Soan,14:47:53,piste ta tete endirerb un monstre poto,victim_support,OAG,bully_support,NCG,DFN,ATK,NEG,1,0,0
conv1_mess20,Théo,14:48:02,c'est toi la moche sale serbe de mes couilles,bully_support,OAG,victim_support,DNG,ATK,DFN,NEG,1,1,1
conv1_mess21,Soan,14:48:21,moi silvia on est les plus belle bande de fdp,victim_support,OAG,bully/bully_support,NCG,DFN,NULL,NEG,1,0,0
